Syriac	Transliteration	English	PartOfSpeech	Gender	State	Root	Stem	Lesson	Notes
ܐܕܢܐ	ʾednā	ear	noun	f	emphatic		1
ܐܟܠ	ʾekal	to eat	verb			ʾ-k-l	Peal	7	I-Alaph
ܐܠܗܐ	Alāhā	God	noun	m	emphatic		0	cognate with Arabic Allāh
ܐܡܐ	ʾemmā	mother	noun	f	emphatic		4
ܐܡܪ	ʾemar	to say	verb			ʾ-m-r	Peal	7	I-Alaph
ܐܢ	ʾen	if	conjunction				12
ܐܣܛܪܢܓܠܐ	Estrangelā	rounded script	noun	f	emphatic		0
ܐܣܪ	ʾasar	to bind, tie	verb			ʾ-s-r	Peal	9
ܐܣܝ	ʾasī	to heal	verb			ʾ-s-y	Aphel	11
ܐܬܐ	ʾetā	to come	verb			ʾ-t-y	Peal	7	I-Alaph & III-Yodh
ܐܬܪܐ	ʾatrā	place, country	noun	m	emphatic		1
ܐܪܥܐ	ʾarʿā	earth, land	noun	f	emphatic		0
ܐܙܠ	ʾezal	to go	verb			ʾ-z-l	Peal	7	I-Alaph
ܐܘܪܚܐ	ʾūrḥā	way, road	noun	f	emphatic		1
ܒܐ	bāʿē	to want, seek	verb			b-ʿ-y	Peal	9
ܒܢܝ	bnā	to build	verb			b-n-y	Peal	7	III-Yodh
ܒܪ	bar	son	noun	m	absolute		4
ܒܪܐ	brā	to create	verb			b-r-ʾ	Peal	5
ܒܪܟ	barrek	to bless	verb			b-r-k	Paael	6
ܒܪܬܐ	brattā	daughter	noun	f	emphatic		4
ܒܣܪܐ	besrā	flesh	noun	m	emphatic		1
ܒܝܫܐ	bīšā	evil, bad	noun	m	emphatic		1
ܒܝܬܐ	baytā	house	noun	m	emphatic		4
ܒܘܪܟܬܐ	būrktā	blessing	noun	f	emphatic		5
ܓܪܡܐ	garmā	bone	noun	m	emphatic		1
ܓܠܐ	glā	to reveal	verb			g-l-y	Peal	10
ܓܠܝܐ	glāyā	revelation, disclosure	noun	f	emphatic		5
ܓܙܪ	gzar	to decree, cut	verb			g-z-r	Peal	8
